Apriori, dataset size = 0.9999999999999999 support threshold = 0.01
32, 38: 2833
32, 39: 8455
32, 41: 3196
32, 48: 8034
36, 38: 2790
36, 39: 2037
36, 48: 1416
37, 38: 1046
38, 39: 10345
38, 41: 3897
38, 48: 7944
39, 41: 11414
39, 48: 29142
39, 60: 983
39, 65: 2787
39, 79: 1111
38, 110: 2725
39, 89: 2749
39, 101: 1400
41, 48: 9018
39, 110: 1759
41, 65: 995
38, 170: 3031
39, 147: 1137
39, 170: 2059
39, 225: 2351
39, 237: 1929
39, 255: 1057
38, 286: 1116
39, 270: 1194
39, 271: 1434
39, 310: 1852
48, 65: 2529
48, 79: 893
48, 89: 2798
48, 101: 1311
48, 110: 1380
39, 413: 1130
48, 147: 1036
39, 438: 1260
48, 170: 1557
39, 475: 1500
48, 225: 1736
48, 237: 1682
39, 533: 922
48, 255: 1057
48, 270: 957
48, 271: 1090
48, 310: 1692
39, 12925: 938
48, 413: 1135
48, 438: 1025
48, 475: 1428
39, 1146: 983
39, 1327: 1156
48, 1327: 968
39, 2238: 1287
48, 2238: 955
